value,deletef,delete1,keep,del2,hand,hand_type,hand_desc
1,4,188,4324,64860,AKQJT,SF,RoyalFlush
2,4,184,4140,60720,KQJT9,SF,King-HighStraightFlush
3,4,184,4140,60720,QJT98,SF,Queen-HighStraightFlush
4,4,184,4140,60720,JT987,SF,Jack-HighStraightFlush
5,4,184,4140,60720,T9876,SF,Ten-HighStraightFlush
6,4,184,4140,60720,98765,SF,Nine-HighStraightFlush
7,4,184,4140,60720,87654,SF,Eight-HighStraightFlush
8,4,184,4140,60720,76543,SF,Seven-HighStraightFlush
9,4,184,4140,60720,65432,SF,Six-HighStraightFlush
10,4,184,4140,60720,5432A,SF,Five-HighStraightFlush
11,4,182,4052,58825,AAAAK,4K,FourAces
12,4,166,3364,44361,AAAAQ,4K,FourAces
13,4,150,2740,32485,AAAAJ,4K,FourAces
14,4,134,2180,22945,AAAAT,4K,FourAces
15,4,118,1684,15485,AAAA9,4K,FourAces
16,4,102,1252,9849,AAAA8,4K,FourAces
17,4,86,884,5781,AAAA7,4K,FourAces
18,4,70,580,3025,AAAA6,4K,FourAces
19,4,54,340,1321,AAAA5,4K,FourAces
20,4,38,164,425,AAAA4,4K,FourAces
21,4,22,52,69,AAAA3,4K,FourAces
22,4,6,4,1,AAAA2,4K,FourAces
23,4,182,4052,58824,KKKKA,4K,FourKings
24,4,166,3364,44357,KKKKQ,4K,FourKings
25,4,150,2740,32485,KKKKJ,4K,FourKings
26,4,134,2180,22945,KKKKT,4K,FourKings
27,4,118,1684,15485,KKKK9,4K,FourKings
28,4,102,1252,9849,KKKK8,4K,FourKings
29,4,86,884,5781,KKKK7,4K,FourKings
30,4,70,580,3025,KKKK6,4K,FourKings
31,4,54,340,1325,KKKK5,4K,FourKings
32,4,38,164,425,KKKK4,4K,FourKings
33,4,22,52,69,KKKK3,4K,FourKings
34,4,6,4,1,KKKK2,4K,FourKings
35,4,182,4052,58824,QQQQA,4K,FourQueens
36,4,166,3364,44356,QQQQK,4K,FourQueens
37,4,150,2740,32481,QQQQJ,4K,FourQueens
38,4,134,2180,22945,QQQQT,4K,FourQueens
39,4,118,1684,15485,QQQQ9,4K,FourQueens
40,4,102,1252,9849,QQQQ8,4K,FourQueens
41,4,86,884,5781,QQQQ7,4K,FourQueens
42,4,70,580,3025,QQQQ6,4K,FourQueens
43,4,54,340,1325,QQQQ5,4K,FourQueens
44,4,38,164,425,QQQQ4,4K,FourQueens
45,4,22,52,69,QQQQ3,4K,FourQueens
46,4,6,4,1,QQQQ2,4K,FourQueens
47,4,182,4052,58824,JJJJA,4K,FourJacks
48,4,166,3364,44356,JJJJK,4K,FourJacks
49,4,150,2740,32480,JJJJQ,4K,FourJacks
50,4,134,2180,22941,JJJJT,4K,FourJacks
51,4,118,1684,15485,JJJJ9,4K,FourJacks
52,4,102,1252,9849,JJJJ8,4K,FourJacks
53,4,86,884,5781,JJJJ7,4K,FourJacks
54,4,70,580,3025,JJJJ6,4K,FourJacks
55,4,54,340,1325,JJJJ5,4K,FourJacks
56,4,38,164,425,JJJJ4,4K,FourJacks
57,4,22,52,69,JJJJ3,4K,FourJacks
58,4,6,4,1,JJJJ2,4K,FourJacks
59,4,182,4052,58824,TTTTA,4K,FourTens
60,4,166,3364,44356,TTTTK,4K,FourTens
61,4,150,2740,32480,TTTTQ,4K,FourTens
62,4,134,2180,22940,TTTTJ,4K,FourTens
63,4,118,1684,15481,TTTT9,4K,FourTens
64,4,102,1252,9849,TTTT8,4K,FourTens
65,4,86,884,5781,TTTT7,4K,FourTens
66,4,70,580,3025,TTTT6,4K,FourTens
67,4,54,340,1325,TTTT5,4K,FourTens
68,4,38,164,425,TTTT4,4K,FourTens
69,4,22,52,69,TTTT3,4K,FourTens
70,4,6,4,1,TTTT2,4K,FourTens
71,4,182,4052,58828,9999A,4K,FourNines
72,4,166,3364,44356,9999K,4K,FourNines
73,4,150,2740,32480,9999Q,4K,FourNines
74,4,134,2180,22940,9999J,4K,FourNines
75,4,118,1684,15480,9999T,4K,FourNines
76,4,102,1252,9845,99998,4K,FourNines
77,4,86,884,5781,99997,4K,FourNines
78,4,70,580,3025,99996,4K,FourNines
79,4,54,340,1325,99995,4K,FourNines
80,4,38,164,425,99994,4K,FourNines
81,4,22,52,69,99993,4K,FourNines
82,4,6,4,1,99992,4K,FourNines
83,4,182,4052,58828,8888A,4K,FourEights
84,4,166,3364,44360,8888K,4K,FourEights
85,4,150,2740,32480,8888Q,4K,FourEights
86,4,134,2180,22940,8888J,4K,FourEights
87,4,118,1684,15480,8888T,4K,FourEights
88,4,102,1252,9844,88889,4K,FourEights
89,4,86,884,5777,88887,4K,FourEights
90,4,70,580,3025,88886,4K,FourEights
91,4,54,340,1325,88885,4K,FourEights
92,4,38,164,425,88884,4K,FourEights
93,4,22,52,69,88883,4K,FourEights
94,4,6,4,1,88882,4K,FourEights
95,4,182,4052,58828,7777A,4K,FourSevens
96,4,166,3364,44360,7777K,4K,FourSevens
97,4,150,2740,32484,7777Q,4K,FourSevens
98,4,134,2180,22940,7777J,4K,FourSevens
99,4,118,1684,15480,7777T,4K,FourSevens
100,4,102,1252,9844,77779,4K,FourSevens
101,4,86,884,5776,77778,4K,FourSevens
102,4,70,580,3021,77776,4K,FourSevens
103,4,54,340,1325,77775,4K,FourSevens
104,4,38,164,425,77774,4K,FourSevens
105,4,22,52,69,77773,4K,FourSevens
106,4,6,4,1,77772,4K,FourSevens
107,4,182,4052,58828,6666A,4K,FourSixes
108,4,166,3364,44360,6666K,4K,FourSixes
109,4,150,2740,32484,6666Q,4K,FourSixes
110,4,134,2180,22944,6666J,4K,FourSixes
111,4,118,1684,15480,6666T,4K,FourSixes
112,4,102,1252,9844,66669,4K,FourSixes
113,4,86,884,5776,66668,4K,FourSixes
114,4,70,580,3020,66667,4K,FourSixes
115,4,54,340,1321,66665,4K,FourSixes
116,4,38,164,425,66664,4K,FourSixes
117,4,22,52,69,66663,4K,FourSixes
118,4,6,4,1,66662,4K,FourSixes
119,4,182,4052,58824,5555A,4K,FourFives
120,4,166,3364,44360,5555K,4K,FourFives
121,4,150,2740,32484,5555Q,4K,FourFives
122,4,134,2180,22944,5555J,4K,FourFives
123,4,118,1684,15484,5555T,4K,FourFives
124,4,102,1252,9844,55559,4K,FourFives
125,4,86,884,5776,55558,4K,FourFives
126,4,70,580,3020,55557,4K,FourFives
127,4,54,340,1320,55556,4K,FourFives
128,4,38,164,425,55554,4K,FourFives
129,4,22,52,69,55553,4K,FourFives
130,4,6,4,1,55552,4K,FourFives
131,4,182,4052,58824,4444A,4K,FourFours
132,4,166,3364,44360,4444K,4K,FourFours
133,4,150,2740,32484,4444Q,4K,FourFours
134,4,134,2180,22944,4444J,4K,FourFours
135,4,118,1684,15484,4444T,4K,FourFours
136,4,102,1252,9848,44449,4K,FourFours
137,4,86,884,5776,44448,4K,FourFours
138,4,70,580,3020,44447,4K,FourFours
139,4,54,340,1320,44446,4K,FourFours
140,4,38,164,424,44445,4K,FourFours
141,4,22,52,69,44443,4K,FourFours
142,4,6,4,1,44442,4K,FourFours
143,4,182,4052,58824,3333A,4K,FourTreys
144,4,166,3364,44360,3333K,4K,FourTreys
145,4,150,2740,32484,3333Q,4K,FourTreys
146,4,134,2180,22944,3333J,4K,FourTreys
147,4,118,1684,15484,3333T,4K,FourTreys
148,4,102,1252,9848,33339,4K,FourTreys
149,4,86,884,5780,33338,4K,FourTreys
150,4,70,580,3020,33337,4K,FourTreys
151,4,54,340,1320,33336,4K,FourTreys
152,4,38,164,424,33335,4K,FourTreys
153,4,22,52,68,33334,4K,FourTreys
154,4,6,4,1,33332,4K,FourTreys
155,4,182,4052,58824,2222A,4K,FourDeuces
156,4,166,3364,44360,2222K,4K,FourDeuces
157,4,150,2740,32484,2222Q,4K,FourDeuces
158,4,134,2180,22944,2222J,4K,FourDeuces
159,4,118,1684,15484,2222T,4K,FourDeuces
160,4,102,1252,9848,22229,4K,FourDeuces
161,4,86,884,5780,22228,4K,FourDeuces
162,4,70,580,3024,22227,4K,FourDeuces
163,4,54,340,1320,22226,4K,FourDeuces
164,4,38,164,424,22225,4K,FourDeuces
165,4,22,52,68,22224,4K,FourDeuces
166,4,6,4,0,22223,4K,FourDeuces
167,24,1072,23408,332956,AAAKK,FH,AcesFulloverKings
168,24,1072,23264,327004,AAAQQ,FH,AcesFulloverQueens
169,24,1072,23120,321052,AAAJJ,FH,AcesFulloverJacks
170,24,1072,22976,315100,AAATT,FH,AcesFulloverTens
171,24,1072,22832,309184,AAA99,FH,AcesFulloverNines
172,24,1072,22688,303232,AAA88,FH,AcesFulloverEights
173,24,1072,22544,297280,AAA77,FH,AcesFulloverSevens
174,24,1072,22400,291328,AAA66,FH,AcesFulloverSixes
175,24,1072,22256,285340,AAA55,FH,AcesFulloverFives
176,24,1072,22112,279388,AAA44,FH,AcesFulloverFours
177,24,1072,21968,273436,AAA33,FH,AcesFulloverTreys
178,24,1072,21824,267484,AAA22,FH,AcesFulloverDeuces
179,24,1056,22704,317820,KKKAA,FH,KingsFulloverAces
180,24,1072,23264,326968,KKKQQ,FH,KingsFulloverQueens
181,24,1072,23120,321016,KKKJJ,FH,KingsFulloverJacks
182,24,1072,22976,315064,KKKTT,FH,KingsFulloverTens
183,24,1072,22832,309148,KKK99,FH,KingsFulloverNines
184,24,1072,22688,303232,KKK88,FH,KingsFulloverEights
185,24,1072,22544,297280,KKK77,FH,KingsFulloverSevens
186,24,1072,22400,291328,KKK66,FH,KingsFulloverSixes
187,24,1072,22256,285376,KKK55,FH,KingsFulloverFives
188,24,1072,22112,279424,KKK44,FH,KingsFulloverFours
189,24,1072,21968,273472,KKK33,FH,KingsFulloverTreys
190,24,1072,21824,267520,KKK22,FH,KingsFulloverDeuces
191,24,1056,22704,317724,QQQAA,FH,QueensFulloverAces
192,24,1056,22560,311928,QQQKK,FH,QueensFulloverKings
193,24,1072,23120,320980,QQQJJ,FH,QueensFulloverJacks
194,24,1072,22976,315028,QQQTT,FH,QueensFulloverTens
195,24,1072,22832,309112,QQQ99,FH,QueensFulloverNines
196,24,1072,22688,303196,QQQ88,FH,QueensFulloverEights
197,24,1072,22544,297280,QQQ77,FH,QueensFulloverSevens
198,24,1072,22400,291328,QQQ66,FH,QueensFulloverSixes
199,24,1072,22256,285376,QQQ55,FH,QueensFulloverFives
200,24,1072,22112,279424,QQQ44,FH,QueensFulloverFours
201,24,1072,21968,273472,QQQ33,FH,QueensFulloverTreys
202,24,1072,21824,267520,QQQ22,FH,QueensFulloverDeuces
203,24,1056,22704,317628,JJJAA,FH,JacksFulloverAces
204,24,1056,22560,311832,JJJKK,FH,JacksFulloverKings
205,24,1056,22416,306036,JJJQQ,FH,JacksFulloverQueens
206,24,1072,22976,314992,JJJTT,FH,JacksFulloverTens
207,24,1072,22832,309076,JJJ99,FH,JacksFulloverNines
208,24,1072,22688,303160,JJJ88,FH,JacksFulloverEights
209,24,1072,22544,297244,JJJ77,FH,JacksFulloverSevens
210,24,1072,22400,291328,JJJ66,FH,JacksFulloverSixes
211,24,1072,22256,285376,JJJ55,FH,JacksFulloverFives
212,24,1072,22112,279424,JJJ44,FH,JacksFulloverFours
213,24,1072,21968,273472,JJJ33,FH,JacksFulloverTreys
214,24,1072,21824,267520,JJJ22,FH,JacksFulloverDeuces
215,24,1056,22704,317532,TTTAA,FH,TensFulloverAces
216,24,1056,22560,311736,TTTKK,FH,TensFulloverKings
217,24,1056,22416,305940,TTTQQ,FH,TensFulloverQueens
218,24,1056,22272,300144,TTTJJ,FH,TensFulloverJacks
219,24,1072,22832,309040,TTT99,FH,TensFulloverNines
220,24,1072,22688,303124,TTT88,FH,TensFulloverEights
221,24,1072,22544,297208,TTT77,FH,TensFulloverSevens
222,24,1072,22400,291292,TTT66,FH,TensFulloverSixes
223,24,1072,22256,285376,TTT55,FH,TensFulloverFives
224,24,1072,22112,279424,TTT44,FH,TensFulloverFours
225,24,1072,21968,273472,TTT33,FH,TensFulloverTreys
226,24,1072,21824,267520,TTT22,FH,TensFulloverDeuces
227,24,1056,22704,317472,999AA,FH,NinesFulloverAces
228,24,1056,22560,311676,999KK,FH,NinesFulloverKings
229,24,1056,22416,305880,999QQ,FH,NinesFulloverQueens
230,24,1056,22272,300084,999JJ,FH,NinesFulloverJacks
231,24,1056,22128,294288,999TT,FH,NinesFulloverTens
232,24,1072,22688,303088,99988,FH,NinesFulloverEights
233,24,1072,22544,297172,99977,FH,NinesFulloverSevens
234,24,1072,22400,291256,99966,FH,NinesFulloverSixes
235,24,1072,22256,285340,99955,FH,NinesFulloverFives
236,24,1072,22112,279424,99944,FH,NinesFulloverFours
237,24,1072,21968,273472,99933,FH,NinesFulloverTreys
238,24,1072,21824,267520,99922,FH,NinesFulloverDeuces
239,24,1056,22704,317376,888AA,FH,EightsFulloverAces
240,24,1056,22560,311616,888KK,FH,EightsFulloverKings
241,24,1056,22416,305820,888QQ,FH,EightsFulloverQueens
242,24,1056,22272,300024,888JJ,FH,EightsFulloverJacks
243,24,1056,22128,294228,888TT,FH,EightsFulloverTens
244,24,1056,21984,288432,88899,FH,EightsFulloverNines
245,24,1072,22544,297136,88877,FH,EightsFulloverSevens
246,24,1072,22400,291220,88866,FH,EightsFulloverSixes
247,24,1072,22256,285304,88855,FH,EightsFulloverFives
248,24,1072,22112,279388,88844,FH,EightsFulloverFours
249,24,1072,21968,273472,88833,FH,EightsFulloverTreys
250,24,1072,21824,267520,88822,FH,EightsFulloverDeuces
251,24,1056,22704,317280,777AA,FH,SevensFulloverAces
252,24,1056,22560,311520,777KK,FH,SevensFulloverKings
253,24,1056,22416,305760,777QQ,FH,SevensFulloverQueens
254,24,1056,22272,299964,777JJ,FH,SevensFulloverJacks
255,24,1056,22128,294168,777TT,FH,SevensFulloverTens
256,24,1056,21984,288372,77799,FH,SevensFulloverNines
257,24,1056,21840,282576,77788,FH,SevensFulloverEights
258,24,1072,22400,291184,77766,FH,SevensFulloverSixes
259,24,1072,22256,285268,77755,FH,SevensFulloverFives
260,24,1072,22112,279352,77744,FH,SevensFulloverFours
261,24,1072,21968,273436,77733,FH,SevensFulloverTreys
262,24,1072,21824,267520,77722,FH,SevensFulloverDeuces
263,24,1056,22704,317184,666AA,FH,SixesFulloverAces
264,24,1056,22560,311424,666KK,FH,SixesFulloverKings
265,24,1056,22416,305664,666QQ,FH,SixesFulloverQueens
266,24,1056,22272,299904,666JJ,FH,SixesFulloverJacks
267,24,1056,22128,294108,666TT,FH,SixesFulloverTens
268,24,1056,21984,288312,66699,FH,SixesFulloverNines
269,24,1056,21840,282516,66688,FH,SixesFulloverEights
270,24,1056,21696,276720,66677,FH,SixesFulloverSevens
271,24,1072,22256,285232,66655,FH,SixesFulloverFives
272,24,1072,22112,279316,66644,FH,SixesFulloverFours
273,24,1072,21968,273400,66633,FH,SixesFulloverTreys
274,24,1072,21824,267484,66622,FH,SixesFulloverDeuces
275,24,1056,22704,317052,555AA,FH,FivesFulloverAces
276,24,1056,22560,311328,555KK,FH,FivesFulloverKings
277,24,1056,22416,305568,555QQ,FH,FivesFulloverQueens
278,24,1056,22272,299808,555JJ,FH,FivesFulloverJacks
279,24,1056,22128,294048,555TT,FH,FivesFulloverTens
280,24,1056,21984,288252,55599,FH,FivesFulloverNines
281,24,1056,21840,282456,55588,FH,FivesFulloverEights
282,24,1056,21696,276660,55577,FH,FivesFulloverSevens
283,24,1056,21552,270864,55566,FH,FivesFulloverSixes
284,24,1072,22112,279280,55544,FH,FivesFulloverFours
285,24,1072,21968,273364,55533,FH,FivesFulloverTreys
286,24,1072,21824,267448,55522,FH,FivesFulloverDeuces
287,24,1056,22704,316956,444AA,FH,FoursFulloverAces
288,24,1056,22560,311232,444KK,FH,FoursFulloverKings
289,24,1056,22416,305472,444QQ,FH,FoursFulloverQueens
290,24,1056,22272,299712,444JJ,FH,FoursFulloverJacks
291,24,1056,22128,293952,444TT,FH,FoursFulloverTens
292,24,1056,21984,288192,44499,FH,FoursFulloverNines
293,24,1056,21840,282396,44488,FH,FoursFulloverEights
294,24,1056,21696,276600,44477,FH,FoursFulloverSevens
295,24,1056,21552,270804,44466,FH,FoursFulloverSixes
296,24,1056,21408,265008,44455,FH,FoursFulloverFives
297,24,1072,21968,273364,44433,FH,FoursFulloverTreys
298,24,1072,21824,267448,44422,FH,FoursFulloverDeuces
299,24,1056,22704,316860,333AA,FH,TreysFulloverAces
300,24,1056,22560,311136,333KK,FH,TreysFulloverKings
301,24,1056,22416,305376,333QQ,FH,TreysFulloverQueens
302,24,1056,22272,299616,333JJ,FH,TreysFulloverJacks
303,24,1056,22128,293856,333TT,FH,TreysFulloverTens
304,24,1056,21984,288096,33399,FH,TreysFulloverNines
305,24,1056,21840,282336,33388,FH,TreysFulloverEights
306,24,1056,21696,276540,33377,FH,TreysFulloverSevens
307,24,1056,21552,270744,33366,FH,TreysFulloverSixes
308,24,1056,21408,264948,33355,FH,TreysFulloverFives
309,24,1056,21264,259188,33344,FH,TreysFulloverFours
310,24,1072,21824,267448,33322,FH,TreysFulloverDeuces
311,24,1056,22704,316764,222AA,FH,DeucesFulloverAces
312,24,1056,22560,311040,222KK,FH,DeucesFulloverKings
313,24,1056,22416,305280,222QQ,FH,DeucesFulloverQueens
314,24,1056,22272,299520,222JJ,FH,DeucesFulloverJacks
315,24,1056,22128,293760,222TT,FH,DeucesFulloverTens
316,24,1056,21984,288000,22299,FH,DeucesFulloverNines
317,24,1056,21840,282240,22288,FH,DeucesFulloverEights
318,24,1056,21696,276480,22277,FH,DeucesFulloverSevens
319,24,1056,21552,270684,22266,FH,DeucesFulloverSixes
320,24,1056,21408,264888,22255,FH,DeucesFulloverFives
321,24,1056,21264,259128,22244,FH,DeucesFulloverFours
322,24,1056,21120,253368,22233,FH,DeucesFulloverTreys
323,4,184,4140,59980,AKQJ9,F,Ace-HighFlush
324,4,180,3960,56020,AKQJ8,F,Ace-HighFlush
325,4,176,3784,52236,AKQJ7,F,Ace-HighFlush
326,4,172,3612,48624,AKQJ6,F,Ace-HighFlush
327,4,168,3444,45176,AKQJ5,F,Ace-HighFlush
328,4,164,3280,41900,AKQJ4,F,Ace-HighFlush
329,4,160,3120,38780,AKQJ3,F,Ace-HighFlush
330,4,156,2964,35816,AKQJ2,F,Ace-HighFlush
331,4,184,4140,59976,AKQT9,F,Ace-HighFlush
332,4,180,3960,56020,AKQT8,F,Ace-HighFlush
333,4,176,3784,52236,AKQT7,F,Ace-HighFlush
334,4,172,3612,48624,AKQT6,F,Ace-HighFlush
335,4,168,3444,45176,AKQT5,F,Ace-HighFlush
336,4,164,3280,41900,AKQT4,F,Ace-HighFlush
337,4,160,3120,38780,AKQT3,F,Ace-HighFlush
338,4,156,2964,35816,AKQT2,F,Ace-HighFlush
339,4,180,3960,56016,AKQ98,F,Ace-HighFlush
340,4,176,3784,52236,AKQ97,F,Ace-HighFlush
341,4,172,3612,48624,AKQ96,F,Ace-HighFlush
342,4,168,3444,45176,AKQ95,F,Ace-HighFlush
343,4,164,3280,41900,AKQ94,F,Ace-HighFlush
344,4,160,3120,38780,AKQ93,F,Ace-HighFlush
345,4,156,2964,35816,AKQ92,F,Ace-HighFlush
346,4,176,3784,52232,AKQ87,F,Ace-HighFlush
347,4,172,3612,48624,AKQ86,F,Ace-HighFlush
348,4,168,3444,45176,AKQ85,F,Ace-HighFlush
349,4,164,3280,41900,AKQ84,F,Ace-HighFlush
350,4,160,3120,38780,AKQ83,F,Ace-HighFlush
351,4,156,2964,35816,AKQ82,F,Ace-HighFlush
352,4,172,3612,48620,AKQ76,F,Ace-HighFlush
353,4,168,3444,45176,AKQ75,F,Ace-HighFlush
354,4,164,3280,41900,AKQ74,F,Ace-HighFlush
355,4,160,3120,38780,AKQ73,F,Ace-HighFlush
356,4,156,2964,35816,AKQ72,F,Ace-HighFlush
357,4,168,3444,45176,AKQ65,F,Ace-HighFlush
358,4,164,3280,41900,AKQ64,F,Ace-HighFlush
359,4,160,3120,38780,AKQ63,F,Ace-HighFlush
360,4,156,2964,35816,AKQ62,F,Ace-HighFlush
361,4,164,3276,41744,AKQ54,F,Ace-HighFlush
362,4,160,3120,38780,AKQ53,F,Ace-HighFlush
363,4,156,2964,35816,AKQ52,F,Ace-HighFlush
364,4,160,3120,38780,AKQ43,F,Ace-HighFlush
365,4,156,2964,35816,AKQ42,F,Ace-HighFlush
366,4,156,2964,35816,AKQ32,F,Ace-HighFlush
367,4,184,4136,59804,AKJT9,F,Ace-HighFlush
368,4,180,3960,56020,AKJT8,F,Ace-HighFlush
369,4,176,3784,52236,AKJT7,F,Ace-HighFlush
370,4,172,3612,48624,AKJT6,F,Ace-HighFlush
371,4,168,3444,45176,AKJT5,F,Ace-HighFlush
372,4,164,3280,41900,AKJT4,F,Ace-HighFlush
373,4,160,3120,38780,AKJT3,F,Ace-HighFlush
374,4,156,2964,35816,AKJT2,F,Ace-HighFlush
375,4,180,3960,56016,AKJ98,F,Ace-HighFlush
376,4,176,3784,52236,AKJ97,F,Ace-HighFlush
377,4,172,3612,48624,AKJ96,F,Ace-HighFlush
378,4,168,3444,45176,AKJ95,F,Ace-HighFlush
379,4,164,3280,41900,AKJ94,F,Ace-HighFlush
380,4,160,3120,38780,AKJ93,F,Ace-HighFlush
381,4,156,2964,35816,AKJ92,F,Ace-HighFlush
382,4,176,3784,52232,AKJ87,F,Ace-HighFlush
383,4,172,3612,48624,AKJ86,F,Ace-HighFlush
384,4,168,3444,45176,AKJ85,F,Ace-HighFlush
385,4,164,3280,41900,AKJ84,F,Ace-HighFlush
386,4,160,3120,38780,AKJ83,F,Ace-HighFlush
387,4,156,2964,35816,AKJ82,F,Ace-HighFlush
388,4,172,3612,48620,AKJ76,F,Ace-HighFlush
389,4,168,3444,45176,AKJ75,F,Ace-HighFlush
390,4,164,3280,41900,AKJ74,F,Ace-HighFlush
391,4,160,3120,38780,AKJ73,F,Ace-HighFlush
392,4,156,2964,35816,AKJ72,F,Ace-HighFlush
393,4,168,3444,45176,AKJ65,F,Ace-HighFlush
394,4,164,3280,41900,AKJ64,F,Ace-HighFlush
395,4,160,3120,38780,AKJ63,F,Ace-HighFlush
396,4,156,2964,35816,AKJ62,F,Ace-HighFlush
397,4,164,3276,41744,AKJ54,F,Ace-HighFlush
398,4,160,3120,38780,AKJ53,F,Ace-HighFlush
399,4,156,2964,35816,AKJ52,F,Ace-HighFlush
400,4,160,3120,38780,AKJ43,F,Ace-HighFlush
401,4,156,2964,35816,AKJ42,F,Ace-HighFlush
402,4,156,2964,35816,AKJ32,F,Ace-HighFlush
403,4,180,3956,55848,AKT98,F,Ace-HighFlush
404,4,176,3784,52236,AKT97,F,Ace-HighFlush
405,4,172,3612,48624,AKT96,F,Ace-HighFlush
406,4,168,3444,45176,AKT95,F,Ace-HighFlush
407,4,164,3280,41900,AKT94,F,Ace-HighFlush
408,4,160,3120,38780,AKT93,F,Ace-HighFlush
409,4,156,2964,35816,AKT92,F,Ace-HighFlush
410,4,176,3784,52232,AKT87,F,Ace-HighFlush
411,4,172,3612,48624,AKT86,F,Ace-HighFlush
412,4,168,3444,45176,AKT85,F,Ace-HighFlush
413,4,164,3280,41900,AKT84,F,Ace-HighFlush
414,4,160,3120,38780,AKT83,F,Ace-HighFlush
415,4,156,2964,35816,AKT82,F,Ace-HighFlush
416,4,172,3612,48620,AKT76,F,Ace-HighFlush
417,4,168,3444,45176,AKT75,F,Ace-HighFlush
418,4,164,3280,41900,AKT74,F,Ace-HighFlush
419,4,160,3120,38780,AKT73,F,Ace-HighFlush
420,4,156,2964,35816,AKT72,F,Ace-HighFlush
421,4,168,3444,45176,AKT65,F,Ace-HighFlush
422,4,164,3280,41900,AKT64,F,Ace-HighFlush
423,4,160,3120,38780,AKT63,F,Ace-HighFlush
424,4,156,2964,35816,AKT62,F,Ace-HighFlush
425,4,164,3276,41744,AKT54,F,Ace-HighFlush
426,4,160,3120,38780,AKT53,F,Ace-HighFlush
427,4,156,2964,35816,AKT52,F,Ace-HighFlush
428,4,160,3120,38780,AKT43,F,Ace-HighFlush
429,4,156,2964,35816,AKT42,F,Ace-HighFlush
430,4,156,2964,35816,AKT32,F,Ace-HighFlush
431,4,176,3780,52068,AK987,F,Ace-HighFlush
432,4,172,3612,48624,AK986,F,Ace-HighFlush
433,4,168,3444,45176,AK985,F,Ace-HighFlush
434,4,164,3280,41900,AK984,F,Ace-HighFlush
435,4,160,3120,38780,AK983,F,Ace-HighFlush
436,4,156,2964,35816,AK982,F,Ace-HighFlush
437,4,172,3612,48620,AK976,F,Ace-HighFlush
438,4,168,3444,45176,AK975,F,Ace-HighFlush
439,4,164,3280,41900,AK974,F,Ace-HighFlush
440,4,160,3120,38780,AK973,F,Ace-HighFlush
441,4,156,2964,35816,AK972,F,Ace-HighFlush
442,4,168,3444,45176,AK965,F,Ace-HighFlush
443,4,164,3280,41900,AK964,F,Ace-HighFlush
444,4,160,3120,38780,AK963,F,Ace-HighFlush
445,4,156,2964,35816,AK962,F,Ace-HighFlush
446,4,164,3276,41744,AK954,F,Ace-HighFlush
447,4,160,3120,38780,AK953,F,Ace-HighFlush
448,4,156,2964,35816,AK952,F,Ace-HighFlush
449,4,160,3120,38780,AK943,F,Ace-HighFlush
450,4,156,2964,35816,AK942,F,Ace-HighFlush
451,4,156,2964,35816,AK932,F,Ace-HighFlush
452,4,172,3608,48460,AK876,F,Ace-HighFlush
453,4,168,3444,45176,AK875,F,Ace-HighFlush
454,4,164,3280,41900,AK874,F,Ace-HighFlush
455,4,160,3120,38780,AK873,F,Ace-HighFlush
456,4,156,2964,35816,AK872,F,Ace-HighFlush
457,4,168,3444,45176,AK865,F,Ace-HighFlush
458,4,164,3280,41900,AK864,F,Ace-HighFlush
459,4,160,3120,38780,AK863,F,Ace-HighFlush
460,4,156,2964,35816,AK862,F,Ace-HighFlush
461,4,164,3276,41744,AK854,F,Ace-HighFlush
462,4,160,3120,38780,AK853,F,Ace-HighFlush
463,4,156,2964,35816,AK852,F,Ace-HighFlush
464,4,160,3120,38780,AK843,F,Ace-HighFlush
465,4,156,2964,35816,AK842,F,Ace-HighFlush
466,4,156,2964,35816,AK832,F,Ace-HighFlush
467,4,168,3440,45020,AK765,F,Ace-HighFlush
468,4,164,3280,41900,AK764,F,Ace-HighFlush
469,4,160,3120,38780,AK763,F,Ace-HighFlush
470,4,156,2964,35816,AK762,F,Ace-HighFlush
471,4,164,3276,41744,AK754,F,Ace-HighFlush
472,4,160,3120,38780,AK753,F,Ace-HighFlush
473,4,156,2964,35816,AK752,F,Ace-HighFlush
474,4,160,3120,38780,AK743,F,Ace-HighFlush
475,4,156,2964,35816,AK742,F,Ace-HighFlush
476,4,156,2964,35816,AK732,F,Ace-HighFlush
477,4,164,3276,41744,AK654,F,Ace-HighFlush
478,4,160,3120,38780,AK653,F,Ace-HighFlush
479,4,156,2964,35816,AK652,F,Ace-HighFlush
480,4,160,3120,38780,AK643,F,Ace-HighFlush
481,4,156,2964,35816,AK642,F,Ace-HighFlush
482,4,156,2964,35816,AK632,F,Ace-HighFlush
483,4,156,2964,35816,AK543,F,Ace-HighFlush
484,4,156,2964,35816,AK542,F,Ace-HighFlush
485,4,156,2964,35816,AK532,F,Ace-HighFlush
486,4,156,2964,35816,AK432,F,Ace-HighFlush
487,4,180,3960,56020,AQJT9,F,Ace-HighFlush
488,4,180,3960,56020,AQJT8,F,Ace-HighFlush
489,4,176,3784,52236,AQJT7,F,Ace-HighFlush
490,4,172,3612,48624,AQJT6,F,Ace-HighFlush
491,4,168,3444,45176,AQJT5,F,Ace-HighFlush
492,4,164,3280,41900,AQJT4,F,Ace-HighFlush
493,4,160,3120,38780,AQJT3,F,Ace-HighFlush
